"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"465","where've",0.42,0.73,0.46,0.78
"466","wherever",-0.13,0.91,-0.3,0.96
"467","wherewith",0.89,0.56,0.62,0.96
"468","wherewithal",1.58,0.36,1.18,0.71
"469","whet",0.32,0.3,-0.4,0.77
"470","whether",0.01,0.97,-0.33,1
"471","whetstone",0.43,0.22,0.42,0.93
"472","whetted",0.29,0.45,-0.15,0.85
"473","whey",0.3,0.46,-0.07,0.96
"474","which",-0.61,0.94,-0.59,1
"475","whichever",0.54,0.91,-0.39,1
"476","whichsoever",1.14,0.64,0.75,0.76
"477","whiff",0.11,0.71,-0.73,1
"478","whig",-0.18,0.44,-0.45,0.86
"479","whigs",0.08,0.67,-0.47,0.96
"480","while",-0.48,1,-0.4,1
"481","whilst",0.25,0.44,0.11,0.78
"482","whim",-0.29,0.71,-0.63,0.96
"483","whimper",0.01,0.91,-0.38,0.96
"484","whimpering",-0.09,0.94,-0.31,1
"485","whims",-0.2,0.84,-0.47,0.96
"486","whimsey",0.18,0.77,-0.25,0.89
"487","whimsical",0.03,0.94,0,0.84
"488","whimsy",0.05,0.94,-0.47,0.96
"489","whine",-0.33,0.91,-0.68,1
"490","whined",-0.07,0.85,-0.28,1
"491","whining",-0.32,0.94,-0.44,1
"492","whinnied",0.68,0.75,0.3,0.67
"493","whinny",0,0.94,-0.1,0.79
"494","whip",-0.61,0.97,-0.83,1
"495","whiplash",0.03,0.94,-0.27,1
"496","whiplashes",0.62,0.79,0.1,0.96
"497","whipped",-0.54,1,-0.68,1
"498","whippersnapper",0.52,0.81,0.67,1
"499","whippet",0.88,0.4,-0.4,0.89
"500","whipping",-0.48,0.97,-0.59,1
"501","whippoorwill",0.58,0.53,1.25,0.53
"502","whips",-0.64,1,-0.69,1
"503","whip's",-0.13,0.97,-0.65,0.93
"504","whir",0.02,0.55,-0.3,0.88
"505","whirl",-0.63,0.97,-0.67,1
"506","whirled",-0.43,1,-0.41,1
"507","whirligig",0.66,0.26,0.71,0.54
"508","whirling",-0.27,1,-0.33,1
"509","whirlpool",-0.48,0.97,-0.44,1
"510","whirlwind",0.03,0.91,-0.28,1
"511","whirlwind's",0.24,0.91,-0.12,1
"512","whirring",0.13,0.67,-0.35,0.69
"513","whisk",-0.5,0.91,-0.83,1
"514","whisked",-0.4,1,-0.27,0.96
"515","whisker",-0.41,1,-0.54,0.96
"516","whiskered",-0.19,0.84,-0.37,1
"517","whiskers",-0.49,1,-0.61,1
"518","whiskey",-0.58,1,-0.62,1
"519","whisking",0.1,0.88,-0.29,1
"520","whisky",-0.5,0.97,-0.41,1
"521","whisper",-0.6,1,-0.6,1
"522","whispered",-0.38,1,-0.32,1
"523","whisperer",0.21,0.97,-0.38,1
"524","whispering",-0.41,0.97,-0.52,1
"525","whisperings",0.03,0.91,-0.25,1
"526","whispers",-0.52,1,-0.69,1
"527","whistle",-0.35,1,-0.55,1
"528","whistled",-0.3,0.97,-0.47,0.96
"529","whistling",-0.18,1,-0.42,0.96
"530","white",-0.88,0.97,-0.69,1
"531","whitecap",0.01,0.88,-0.02,1
"532","whitehaired",0.52,0.97,0.23,1
"533","whitehead",-0.21,0.97,-0.22,1
"534","whitehead's",0.41,0.82,-0.03,1
"535","whitely",0.04,0.75,0.09,0.93
"536","whiten",0.15,0.75,-0.09,0.89
"537","whitened",0.08,0.91,0.06,0.88
"538","whiteness",0.06,0.97,-0.03,0.89
"539","whitening",-0.03,0.82,-0.13,1
"540","whitens",0.48,0.69,0.01,0.96
"541","whites",-0.64,1,-0.53,0.96
"542","white's",-0.24,0.97,-0.58,1
"543","whitetail",0.16,0.97,-0.35,0.96
"544","whitewash",-0.12,0.94,-0.36,0.96
"545","whitewashed",0.12,0.94,0.17,1
"546","whither",0.1,0.85,-0.37,0.96
"547","whiting",0.47,0.5,0.16,0.73
"548","whitman",-0.08,0.88,-0.26,0.81
"549","whitman's",-0.14,0.94,-0.33,0.93
"550","whitney",-0.21,0.9,-0.15,1
"551","whittle",-0.03,0.91,-0.24,1
"552","whiz",-0.42,0.94,-0.59,1
"553","whizzed",0.09,0.88,-0.24,1
"554","whizzing",0.08,0.85,-0.34,0.96
"555","who",-0.6,0.97,-0.67,1
"556","whoa",-0.27,0.75,-0.38,1
"557","who'd",0.23,0.68,-0.41,1
"558","whodunit",1,0.35,0.68,0.92
"559","whoever",0.02,0.91,-0.17,0.96
"560","whole",-0.68,0.97,-0.72,1
"561","wholeheartedly",0.47,0.97,0.52,0.96
"562","wholemeal",0.69,0.75,0.58,0.96
"563","wholeness",-0.36,0.94,-0.3,1
"564","wholes",-0.01,0.78,0.06,0.96
"565","wholesale",-0.32,1,-0.31,1
"566","wholesalers",0.2,1,-0.1,1
"567","wholesome",-0.42,0.97,-0.35,1
"568","wholewheat",0.6,0.88,0.31,1
"569","who'll",0.23,0.94,-0.3,1
"570","wholly",-0.07,0.66,0.04,0.72
"571","whom",-0.05,0.91,-0.18,0.84
"572","whomever",0.26,0.91,0.16,0.96
"573","whoop",-0.2,0.91,-0.54,0.84
"574","whoopee",0.38,0.66,0.01,1
"575","whomsoever",0.89,0.78,0.52,0.92
"576","whooping",-0.3,1,-0.35,0.93
"577","whoosh",-0.15,0.79,-0.53,0.96
